Generation;Fitness
0;0.48
0;0.9
0;0.26
0;0.64
0;0.5
0;0.78
0;0.7
0;0.48
0;0.42
0;0.68
0;0.68
0;0.48
0;0.56
0;0.58
0;0.52
0;0.58
0;0.3
0;0.44
0;0.6
0;0.72
0;0.46
0;0.44
0;0.52
0;0.58
0;0.56
1;0.52
1;0.66
1;0.74
1;0.68
1;0.54
1;0.48
1;0.44
1;0.6
1;0.56
1;0.7
1;0.78
1;0.58
1;0.64
1;0.46
1;0.28
1;0.54
1;0.6
1;0.68
1;0.68
1;0.52
1;0.52
1;0.6
1;0.6
1;0.58
1;0.62
2;0.6
2;0.74
2;0.44
2;0.68
2;0.72
2;0.66
2;0.62
2;0.92
2;0.64
2;0.6
2;0.64
2;0.84
2;0.84
2;0.62
2;0.54
2;0.7
2;0.62
2;0.7
2;0.48
2;0.58
2;0.66
2;0.84
2;0.38
2;0.46
2;0.68
3;0.78
3;0.68
3;0.68
3;0.82
3;0.82
3;0.72
3;0.58
3;0.8
3;0.72
3;0.74
3;0.56
3;0.72
3;0.78
3;0.7
3;0.86
3;0.86
3;0.56
3;0.76
3;0.68
3;0.6
3;0.5
3;0.78
3;0.64
3;0.88
3;0.72
4;0.62
4;0.5
4;0.68
4;0.7
4;0.7
4;0.72
4;0.72
4;0.76
4;0.68
4;0.78
4;0.76
4;0.76
4;0.94
4;0.8
4;0.6
4;0.72
4;0.72
4;0.5
4;0.68
4;0.74
4;0.8
4;0.78
4;0.76
4;0.72
4;0.74
5;0.88
5;0.72
5;0.7
5;0.6
5;0.74
5;0.74
5;0.76
5;0.86
5;0.78
5;0.72
5;0.7
5;0.74
5;0.72
5;0.68
5;0.74
5;0.8
5;0.82
5;0.72
5;0.62
5;0.76
5;0.78
5;0.66
5;0.76
5;0.86
5;0.82
6;0.62
6;0.66
6;0.8
6;0.76
6;0.74
6;0.66
6;0.72
6;0.8
6;0.72
6;0.56
6;0.78
6;0.72
6;0.84
6;0.86
6;0.74
6;0.76
6;0.82
6;0.86
6;0.86
6;0.78
6;0.82
6;0.64
6;0.86
6;0.52
6;0.84
7;0.64
7;0.72
7;0.68
7;0.72
7;0.8
7;0.72
7;0.82
7;0.78
7;0.7
7;0.68
7;0.76
7;0.88
7;0.76
7;0.74
7;0.78
7;0.7
7;0.8
7;0.86
7;0.8
7;0.76
7;0.78
7;0.7
7;0.7
7;0.74
7;0.76
8;0.76
8;0.86
8;0.86
8;0.84
8;0.84
8;0.84
8;0.72
8;0.78
8;0.86
8;0.78
8;0.78
8;0.8
8;0.76
8;0.9
8;0.7
8;0.88
8;0.8
8;0.78
8;0.76
8;0.68
8;0.76
8;0.76
8;0.88
8;0.82
8;0.74
9;0.84
9;0.8
9;0.9
9;0.82
9;0.78
9;0.88
9;0.82
9;0.76
9;0.86
9;0.8
9;0.84
9;0.8
9;0.88
9;0.8
9;0.86
9;0.82
9;0.72
9;0.92
9;0.74
9;0.86
9;0.84
9;0.78
9;0.8
9;0.88
9;0.76
10;0.82
10;0.86
10;0.88
10;0.8
10;0.8
10;0.84
10;0.76
10;0.86
10;0.7
10;0.86
10;0.84
10;0.8
10;0.8
10;0.82
10;0.78
10;0.76
10;0.7
10;0.74
10;0.84
10;0.82
10;0.82
10;0.86
10;0.88
10;0.88
10;0.86
11;0.7
11;0.84
11;0.78
11;0.78
11;0.76
11;0.8
11;0.86
11;0.64
11;0.92
11;0.92
11;0.7
11;0.72
11;0.82
11;0.86
11;0.74
11;0.84
11;0.76
11;0.78
11;0.82
11;0.76
11;0.92
11;0.8
11;0.86
11;0.78
11;0.74
12;0.78
12;0.88
12;0.8
12;0.84
12;0.8
12;0.8
12;0.86
12;0.78
12;0.86
12;0.8
12;0.8
12;0.8
12;0.88
12;0.9
12;0.86
12;0.84
12;0.96
12;0.66
12;0.7
12;0.8
12;0.86
12;0.82
12;0.88
12;0.8
12;0.82
13;0.84
13;0.72
13;0.9
13;0.74
13;0.78
13;0.88
13;0.86
13;0.78
13;0.82
13;0.82
13;0.82
13;0.74
13;0.8
13;0.8
13;0.86
13;0.84
13;0.8
13;0.8
13;0.88
13;0.74
13;0.9
13;0.82
13;0.74
13;0.84
13;0.8
14;0.9
14;0.8
14;0.86
14;0.82
14;0.84
14;0.8
14;0.88
14;0.8
14;0.72
