Generation;Fitness
0;0.9
0;0.966667
0;0.866667
0;0.833333
0;0.9
0;0.933333
0;0.9
0;0.833333
0;0.966667
0;0.933333
0;1
0;0.9
0;1
0;0.9
0;1
0;0.733333
0;0.833333
0;0.566667
0;0.9
0;1
0;0.833333
0;0.933333
0;0.833333
0;0.9
0;0.966667
1;0.966667
1;1
1;0.933333
1;1
1;0.666667
1;1
1;1
1;0.933333
1;0.933333
1;1
1;0.933333
1;1
1;0.966667
1;0.966667
1;1
1;0.966667
1;0.966667
1;0.933333
1;1
1;0.933333
1;0.866667
1;1
1;0.933333
1;0.966667
1;1
2;0.933333
2;0.933333
2;0.966667
2;0.966667
2;0.966667
2;0.933333
2;0.966667
2;1
2;0.966667
2;0.966667
2;1
2;0.933333
2;1
2;0.866667
2;0.733333
2;1
2;0.966667
2;1
2;1
2;0.9
2;0.933333
2;1
2;0.966667
2;0.966667
2;1
3;1
3;0.933333
3;0.966667
3;0.933333
3;1
3;0.9
3;0.966667
3;0.966667
3;0.966667
3;1
3;0.9
3;0.933333
3;1
3;0.933333
3;0.966667
3;1
3;1
3;0.966667
3;0.9
3;0.933333
3;1
3;0.966667
3;1
3;1
3;0.966667
4;1
4;0.9
4;1
4;0.966667
4;1
4;0.9
4;1
4;0.9
4;0.866667
4;0.933333
4;1
4;0.966667
4;0.9
4;0.966667
4;0.966667
4;0.933333
4;0.966667
4;1
4;0.966667
4;0.966667
4;0.933333
4;0.9
4;0.966667
4;0.966667
4;0.933333
5;0.933333
5;0.966667
5;1
5;0.966667
5;0.933333
5;1
5;0.966667
5;1
5;1
5;0.933333
5;0.933333
5;0.966667
5;0.966667
5;0.966667
5;0.933333
5;0.9
5;0.966667
5;0.966667
5;0.933333
5;1
5;1
5;0.933333
5;0.966667
5;0.933333
5;0.9
6;1
6;0.933333
6;0.966667
6;1
6;0.966667
6;1
6;1
6;0.9
6;1
6;1
6;0.933333
6;1
6;1
6;1
6;0.866667
6;0.933333
6;0.933333
6;0.966667
6;0.966667
6;0.9
6;1
6;0.933333
6;1
6;0.966667
6;0.933333
7;0.933333
7;1
7;1
7;0.966667
7;0.966667
7;1
7;0.966667
7;1
7;0.966667
7;0.966667
7;1
7;0.933333
7;0.966667
7;0.933333
7;0.933333
7;0.933333
7;1
7;1
7;1
7;0.966667
7;0.966667
7;0.933333
7;1
7;0.966667
7;1
8;1
8;1
8;1
8;0.9
8;1
8;1
8;1
8;0.966667
8;1
8;1
8;0.966667
8;1
8;1
8;0.933333
8;0.866667
8;0.966667
8;1
8;0.966667
8;0.966667
8;1
8;0.966667
8;0.933333
8;0.933333
8;0.966667
8;0.966667
9;1
9;1
9;1
9;1
9;0.933333
9;0.966667
9;1
9;0.966667
9;0.966667
9;1
9;0.966667
9;1
9;0.966667
9;0.966667
9;1
9;1
9;1
9;1
9;1
9;0.966667
9;1
9;1
9;1
9;0.933333
9;1
10;0.966667
10;0.933333
10;1
10;0.966667
10;1
10;1
10;0.966667
10;0.966667
10;1
10;1
10;1
10;0.966667
10;1
10;1
10;1
10;0.966667
10;0.966667
10;0.966667
10;1
10;1
10;1
10;0.966667
10;1
10;1
10;1
11;0.966667
11;1
11;1
11;1
11;1
11;1
11;1
11;1
11;0.966667
11;0.966667
11;1
11;1
11;0.966667
11;1
11;1
11;1
11;1
11;0.966667
11;1
11;1
11;1
11;1
11;1
11;1
11;1
12;1
12;1
12;0.966667
12;0.966667
12;1
12;1
12;1
12;1
12;1
12;0.966667
12;1
12;0.966667
12;0.966667
12;1
12;1
12;0.966667
12;0.966667
12;0.966667
12;1
12;1
12;0.966667
12;0.966667
12;1
12;1
12;1
13;0.966667
13;1
13;0.966667
13;0.966667
13;0.966667
13;0.966667
13;1
13;0.9
13;1
13;1
13;0.966667
13;1
13;1
13;1
13;1
13;0.966667
13;1
13;1
13;1
13;0.966667
13;1
13;1
13;1
13;1
13;1
14;1
14;0.966667
14;1
14;1
14;1
14;1
14;1
14;1
14;1
14;1
14;1
14;1
14;1
14;0.966667
14;1
14;1
14;0.966667
14;1
14;1
14;1
14;0.933333
14;1
14;1
14;1
14;1
15;1
15;1
15;1
15;0.966667
15;1
15;1
15;0.966667
15;0.966667
15;1
15;1
15;0.966667
15;0.933333
15;1
15;1
15;1
15;1
15;1
15;1
15;1
15;0.966667
15;0.966667
15;1
15;1
15;1
15;1
16;1
16;0.933333
16;0.966667
16;0.966667
16;1
16;0.933333
16;1
16;1
16;1
16;0.966667
16;1
16;1
16;1
16;1
16;1
16;1
16;1
16;1
16;1
16;1
16;0.966667
16;1
16;1
16;1
16;1
17;0.966667
17;0.966667
17;1
17;0.966667
17;1
17;0.9
17;1
17;0.966667
17;1
17;1
17;1
17;1
17;1
17;1
17;1
17;1
17;1
17;1
17;1
17;1
17;1
17;1
17;1
17;1
17;1
18;0.966667
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;0.933333
18;1
18;1
18;1
18;1
18;1
18;1
18;1
18;0.966667
18;1
18;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;0.966667
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
19;1
20;1
20;0.966667
20;1
20;1
20;1
20;1
20;0.933333
20;1
20;0.966667
20;1
20;1
20;1
20;0.966667
20;0.966667
20;1
20;1
20;1
20;0.966667
20;1
20;1
20;1
20;1
20;0.966667
20;1
20;1
21;0.966667
21;1
21;1
21;0.966667
21;1
21;1
21;1
21;1
21;1
21;1
21;0.966667
21;1
21;1
21;1
21;1
21;1
21;1
21;1
21;1
21;1
21;1
21;1
21;1
21;1
21;1
22;1
22;1
22;1
22;1
22;1
22;0.966667
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
22;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;1
23;0.966667
23;1
23;0.966667
23;1
23;1
23;1
23;1
23;1
24;1
24;1
24;1
24;1
24;1
24;1
24;1
24;1
24;0.933333
24;1
24;1
24;1
24;0.966667
24;1
24;1
24;1
24;1
24;1
24;1
24;1
24;1
24;1
24;1
24;1
24;1
