Generation;Fitness
0;0.5
0;0.433333
0;0.533333
0;0.4
0;0.233333
0;0.9
0;0.5
0;0.766667
0;0.533333
0;0.7
0;0.866667
0;0.666667
0;0.733333
0;0.566667
0;0.8
0;0.366667
0;0.533333
0;0.366667
0;0.633333
0;0.5
0;0.633333
0;0.733333
0;0.766667
0;0.566667
0;0.5
1;0.533333
1;0.633333
1;0.733333
1;0.8
1;0.6
1;0.7
1;0.7
1;0.566667
1;0.5
1;0.666667
1;0.766667
1;0.633333
1;0.733333
1;0.566667
1;0.6
1;0.566667
1;0.833333
1;0.4
1;0.766667
1;0.366667
1;0.6
1;0.566667
1;0.866667
1;0.6
1;0.333333
2;0.733333
2;0.6
2;0.566667
2;0.766667
2;0.666667
2;0.333333
2;0.633333
2;0.633333
2;0.8
2;0.733333
2;0.766667
2;0.766667
2;0.733333
2;0.766667
2;0.766667
2;0.566667
2;0.766667
2;0.6
2;0.466667
2;0.733333
2;0.533333
2;0.833333
2;0.6
2;0.566667
2;0.733333
3;0.633333
3;0.7
3;0.566667
3;0.666667
3;0.666667
3;0.533333
3;0.666667
3;0.4
3;0.566667
3;0.633333
3;0.7
3;0.866667
3;0.666667
3;0.733333
3;0.733333
3;0.266667
3;0.8
3;0.733333
3;0.7
3;0.766667
3;0.7
3;0.733333
3;0.5
3;0.5
3;0.866667
4;0.666667
4;0.866667
4;0.833333
4;0.6
4;0.733333
4;0.466667
4;0.9
4;0.733333
4;0.666667
4;0.766667
4;0.666667
4;0.6
4;0.8
4;0.8
4;0.566667
4;0.733333
4;0.666667
4;0.7
4;0.866667
4;0.766667
4;0.7
4;0.566667
4;0.6
4;0.7
4;0.533333
5;0.566667
5;0.7
5;0.8
5;0.766667
5;0.866667
5;0.666667
5;0.733333
5;0.733333
5;0.6
5;0.733333
5;0.7
5;0.833333
5;0.8
5;0.533333
5;0.766667
5;0.766667
5;0.7
5;0.566667
5;0.666667
5;0.6
5;0.766667
5;0.733333
5;0.6
5;0.666667
5;0.8
6;0.833333
6;0.7
6;0.8
6;0.8
6;0.866667
6;0.766667
6;0.466667
6;0.533333
6;0.733333
6;0.733333
6;0.766667
6;0.833333
6;0.7
6;0.5
6;0.666667
6;0.633333
6;0.7
6;0.466667
6;0.8
6;0.733333
6;0.7
6;0.833333
6;0.7
6;0.7
6;0.766667
7;0.8
7;0.566667
7;0.5
7;0.766667
7;0.666667
7;0.8
7;0.633333
7;0.733333
7;0.633333
7;0.833333
7;0.633333
7;0.733333
7;0.8
7;0.766667
7;0.633333
7;0.633333
7;0.8
7;0.766667
7;0.766667
7;0.8
7;0.833333
7;0.8
7;0.933333
7;0.8
7;0.733333
8;0.8
8;0.766667
8;0.833333
8;0.666667
8;0.7
8;0.9
8;0.7
8;0.7
8;0.866667
8;0.866667
8;0.833333
8;0.8
8;0.9
8;0.866667
8;0.733333
8;0.666667
8;0.866667
8;0.8
8;0.8
8;0.733333
8;0.533333
8;0.766667
8;0.866667
8;0.9
8;0.866667
9;0.733333
9;0.8
9;0.666667
9;0.9
9;0.633333
9;0.833333
9;0.6
9;0.633333
9;0.8
9;0.766667
9;0.833333
9;0.7
9;0.833333
9;0.733333
9;0.766667
9;0.6
9;0.733333
9;0.833333
9;0.633333
9;0.933333
9;0.8
9;0.766667
9;0.866667
9;0.8
9;0.833333
10;0.6
10;0.8
10;0.833333
10;0.866667
10;0.733333
10;0.933333
10;0.833333
10;0.833333
10;0.766667
10;0.566667
10;0.733333
10;0.733333
10;0.866667
10;0.733333
10;0.866667
10;0.633333
10;0.866667
10;0.833333
10;0.833333
10;0.733333
10;0.766667
10;0.8
10;0.866667
10;0.733333
10;0.833333
11;0.8
11;0.766667
11;0.866667
11;0.633333
11;0.9
11;0.733333
11;0.766667
11;0.833333
11;0.8
11;0.733333
11;0.866667
11;0.766667
11;0.8
11;0.833333
11;0.933333
11;0.8
11;0.9
11;0.8
11;0.866667
11;0.866667
11;0.733333
11;0.833333
11;0.766667
11;0.833333
11;0.733333
12;0.733333
12;0.933333
12;0.8
12;0.766667
12;0.6
12;0.733333
12;0.833333
12;0.8
12;0.866667
12;0.766667
12;0.633333
12;0.766667
12;0.8
12;0.766667
12;0.766667
12;0.733333
12;0.8
12;0.8
12;0.833333
12;0.8
12;0.9
12;0.666667
12;0.8
12;0.8
12;0.733333
13;0.8
13;0.8
13;0.733333
13;0.866667
13;0.833333
13;0.833333
13;0.9
13;0.766667
13;0.833333
13;0.866667
13;0.833333
13;0.766667
13;0.833333
13;0.866667
13;0.8
13;0.733333
13;0.9
13;0.833333
13;0.8
13;0.766667
13;0.8
13;0.766667
13;0.766667
13;0.833333
13;0.733333
14;0.766667
14;0.833333
14;0.733333
14;0.733333
14;0.833333
14;0.9
14;0.733333
14;0.9
