Number Of Lines Of Length 4 Gene;Number Of Lines Of Length 3 Gene;Number Of Lines Of Length 2 Gene;Number Of Blocked Lines Of Length 4 Gene;Number Of Blocked Lines Of Length 3 Gene;Number Of Blocked Lines Of Length 2 Gene;Number Of Free Lines Of Length 4 Gene;Number Of Free Lines Of Length 3 Gene;Number Of Free Lines Of Length 2 Gene;Suicide Move Gene 4;Suicide Move Gene 3;Suicide Move Gene 2;Anti Suicide Move Gene 4;Anti Suicide Move Gene 3;Anti Suicide Move Gene 2
1.56724;1.48395;0.0111384;4.31434;0.145194;-0.232384;2.55485;0.842111;0.508356;-3.8692;-0.203034;0.240942;0.404973;0.750663;0.369097
1.56724;1.48395;0.0111384;6.16036;0.145194;-0.232384;2.06545;0.804727;0.508356;-4.46473;-0.228501;0.116205;0.138727;0.839058;1.13973
1.56724;1.48395;0.0111384;4.31434;0.133223;-0.19466;1.57314;0.842111;0.598376;-2.67061;-0.203034;0.199732;-0.5039;0.3334;0.377879
1.56724;1.48395;0.0111384;4.31434;0.145194;-0.232384;1.57314;0.90039;0.511693;-2.98338;-0.548271;0.116205;0.138727;0.839058;0.170864
1.56724;1.48395;0.0111384;4.70143;0.145194;-0.19466;1.35191;0.472121;0.529453;-3.5312;-0.548271;0.240942;-0.127012;0.839058;0.628872
1.56724;0.936618;0.0111384;5.30468;0.145194;-0.232384;2.55485;0.842111;0.508356;-4.11179;-0.203034;0.434273;-0.418216;0.839058;0.369097
1.56724;1.48395;0.0111384;4.70143;0.145194;-0.232384;2.55485;0.842111;0.529453;-4.61961;-0.203034;0.199732;-0.418216;0.750663;0.628872
1.56724;1.9437;0.0111384;4.70143;0.145194;-0.510629;2.63743;0.804727;0.508356;-4.46473;-0.228501;0.623763;-0.752338;0.750663;0.208528
1.56724;1.48395;0.0111384;5.22195;0.145194;-0.232384;1.35191;0.842111;0.529453;-3.65209;-0.304086;0.240942;-0.127012;0.839058;0.539396
1.56724;0.936618;0.0111384;4.31434;0.145194;-0.232384;2.55485;0.842111;0.508356;-4.11179;-0.203034;0.62848;0.138727;0.3334;0.641286
1.56724;1.48395;0.0111384;5.70968;0.145194;-0.232384;1.57314;0.842111;0.508356;-3.65209;0.824989;0.977877;0.404973;0.544828;0.377879
1.56724;1.48395;0.0111384;5.44331;0.145194;-0.232384;2.63743;0.804727;0.508356;-2.81999;0.44058;0.116205;-0.16395;0.3334;0.628872
1.56724;1.9437;0.0111384;5.30468;0.145194;-0.232384;2.16156;0.842111;0.529453;-3.66126;-0.548271;0.240942;-0.752338;0.750663;1.38753
1.56724;1.48395;0.653061;5.30468;0.145194;-0.232384;2.55485;0.842111;-0.145049;-3.8692;-0.203034;0.199732;-0.151716;1.54313;0.641286
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.232384;2.55485;0.842111;0.56154;-4.11179;-1.03451;0.240942;-0.418216;1.3707;0.377879
1.56724;1.48395;0.0111384;6.04055;-0.0827254;-0.87146;2.55485;0.842111;-0.145049;-3.8692;-0.203034;0.199732;-0.151716;0.750663;0.641286
1.56724;1.48395;0.0111384;5.44331;0.145194;-0.232384;2.06545;0.804727;0.508356;-2.98338;-0.548271;0.116205;0.138727;0.839058;1.13973
1.56724;1.48395;0.0111384;4.31434;0.145194;-0.232384;1.26984;0.842111;0.529453;-3.8692;-0.548271;0.240942;0.138727;0.544828;0.369097
1.56724;1.48395;0.0111384;6.20159;0.145194;-0.232384;2.25139;1.75322;0.508356;-4.11179;-0.203034;0.240942;-0.418216;0.310503;0.377879
0.590499;1.9437;0.0111384;4.70143;0.145194;-0.232384;2.09826;0.842111;0.508356;-3.65209;-0.548271;0.240942;0.0225999;0.750663;1.38753
