Generation;Average Moves To Win;Average Moves To Lose
0;15;13
0;15;16
0;17;16
0;13;15
0;18;16
0;15;17
0;15;16
0;18;17
0;15;14
0;19;15
0;15;16
0;19;19
0;19;18
0;21;15
0;17;20
0;20;19
0;17;20
0;19;16
0;20;19
0;18;14
0;21;16
0;15;14
0;18;20
0;24;19
0;16;18
0;20;20
0;20;17
0;18;21
0;17;21
0;22;23
0;17;17
0;14;14
0;16;16
0;20;16
0;19;18
0;18;18
0;18;17
0;16;16
0;16;15
0;22;19
0;16;17
0;19;15
0;17;19
0;17;16
0;16;18
0;18;20
0;18;20
0;18;15
0;17;18
0;20;17
0;13;20
0;15;15
0;16;19
0;17;16
0;13;15
0;16;16
0;14;16
0;16;17
0;21;20
0;16;15
0;16;15
0;17;19
0;19;19
0;17;19
0;16;16
0;17;15
0;17;16
0;20;19
0;17;19
0;17;16
0;12;15
0;18;18
0;14;18
0;19;16
0;21;20
0;19;18
0;19;17
0;19;20
0;19;16
0;18;20
0;13;16
0;19;21
0;23;21
0;18;16
0;18;20
0;19;18
0;19;17
0;22;16
0;16;16
0;19;18
0;19;19
0;19;17
0;17;18
0;16;16
0;16;20
0;17;17
0;19;18
0;17;13
0;21;20
0;19;18
1;18;16
1;17;17
1;12;17
1;17;14
1;20;20
1;19;19
1;21;18
1;16;19
1;17;23
1;17;16
1;15;19
1;17;16
1;19;19
1;17;16
1;17;16
1;18;19
1;19;20
1;15;16
1;15;16
1;17;16
1;18;21
1;18;20
1;15;18
1;19;19
1;16;17
1;15;17
1;16;17
1;18;21
1;13;15
1;15;14
1;15;16
1;18;15
1;19;17
1;21;16
1;17;21
1;15;22
1;17;16
1;16;18
1;17;19
1;16;17
1;18;14
1;20;20
1;15;17
1;19;20
1;16;17
1;16;19
1;17;15
1;19;20
1;15;22
1;20;20
1;17;17
1;18;21
1;16;19
1;19;18
1;18;14
1;17;18
1;16;20
1;17;16
1;19;16
1;12;16
1;19;19
1;17;19
1;18;19
1;17;17
1;14;18
1;16;15
1;17;17
1;18;18
1;18;19
1;14;22
1;15;14
1;16;14
1;18;17
1;21;20
1;19;18
1;14;15
1;17;14
1;20;17
1;14;14
1;17;15
1;17;19
1;16;16
1;19;14
1;15;15
1;16;18
1;14;17
1;19;20
1;14;16
1;16;17
1;17;18
1;19;19
1;16;17
1;15;16
1;15;14
1;16;16
1;14;16
1;13;16
1;15;15
1;14;16
1;22;22
2;13;18
2;16;18
2;18;17
2;17;16
2;18;20
2;16;17
2;15;22
2;14;19
2;17;19
2;20;21
2;16;20
2;18;18
2;16;17
2;17;17
2;18;24
2;17;18
2;16;21
2;16;14
2;17;20
2;17;18
2;17;19
2;19;17
2;18;19
2;17;18
2;14;17
2;17;15
2;19;17
2;16;17
2;17;18
2;15;17
2;18;16
2;17;17
2;14;15
2;16;16
2;17;16
2;15;16
2;15;16
2;16;19
2;17;18
2;18;17
2;14;17
2;15;15
2;14;16
2;16;17
2;14;20
2;17;18
2;16;20
2;15;18
2;14;18
2;16;17
2;15;18
2;19;18
2;17;18
2;15;16
2;15;22
2;17;15
2;17;20
2;17;17
2;14;20
2;16;18
2;16;17
2;16;15
2;15;17
2;17;17
2;15;15
2;15;20
2;17;15
2;16;16
2;19;17
2;18;15
2;14;17
2;15;24
2;19;16
2;18;16
2;18;15
2;18;18
2;13;16
2;14;18
2;14;16
2;14;14
2;20;19
2;16;16
2;19;18
2;15;15
2;16;19
2;12;17
2;14;15
2;16;16
2;14;19
2;15;15
2;14;15
2;18;19
2;17;18
2;15;17
2;16;22
2;17;16
2;16;18
2;16;15
2;15;17
2;13;16
3;16;15
3;19;14
3;12;19
3;17;14
3;16;17
3;16;17
3;16;19
3;18;22
3;16;15
3;14;20
3;18;21
3;16;18
3;15;17
3;17;14
3;19;18
3;16;17
3;18;18
3;12;15
3;14;16
3;17;18
3;15;16
3;18;20
3;15;16
3;17;17
3;16;20
3;16;18
3;14;17
3;15;18
3;17;18
3;15;18
3;16;18
3;15;14
3;17;25
3;13;17
3;17;15
3;17;22
3;15;14
3;18;24
3;11;15
3;15;15
3;11;14
3;14;17
3;18;20
3;16;15
3;15;21
3;17;15
3;14;17
3;18;17
3;14;16
3;15;17
3;14;15
3;15;18
3;14;16
3;16;18
3;19;16
3;14;16
3;15;16
3;15;15
3;19;17
3;16;16
3;13;18
3;17;16
3;16;22
3;18;18
3;15;13
3;17;18
3;13;19
3;17;20
3;16;24
3;16;20
3;14;22
3;20;16
3;16;16
3;15;14
3;17;20
3;17;15
3;14;20
3;17;14
3;15;18
3;18;22
3;18;21
3;14;19
3;15;15
3;19;16
3;18;18
3;15;16
3;14;15
3;16;16
3;17;17
3;17;18
3;16;18
3;18;15
3;13;14
3;13;19
3;13;14
3;16;17
3;15;18
3;17;16
3;15;17
3;13;17
4;14;28
4;18;16
4;13;17
4;13;20
4;15;14
4;15;20
4;17;26
4;17;17
4;12;15
4;16;15
4;17;24
4;16;19
4;18;13
4;13;21
4;16;15
4;14;17
4;13;21
4;15;16
4;17;17
4;17;15
4;16;17
4;17;17
4;12;18
4;16;19
4;12;18
4;14;17
4;16;15
4;19;19
4;17;18
4;14;19
4;16;18
4;16;16
4;15;26
4;16;17
4;14;15
4;16;18
4;14;16
4;12;14
4;17;16
4;15;15
4;18;16
4;15;16
4;16;17
